Date,Clean_Solar_Generation,Trend_Seasonal_Component
8/26/2019,65.6674989,29.85612798
8/27/2019,107.5377478,28.31850486
8/28/2019,100.0854982,26.9865688
8/29/2019,89.18549832,25.86356077
8/30/2019,96.53549848,24.95180664
8/31/2019,59.47305446,24.25270812
9/1/2019,74.13949876,23.76673776
9/2/2019,69.73122097,23.49343763
9/3/2019,98.83183158,23.43142209
9/4/2019,101.3551649,23.57838427
9/5/2019,102.0450537,23.93110656
9/6/2019,41.02838816,24.48547475
9/7/2019,91.32352618,25.23649606
9/8/2019,73.27583204,26.17832076
9/9/2019,14.51005532,27.30426739
9/10/2019,34.28688822,28.60685147
9/11/2019,47.68744363,30.07781756
9/12/2019,101.300054,31.70817454
9/13/2019,69.5150544,33.48823397
9/14/2019,73.21627654,35.40765139
9/15/2019,96.87972049,37.4554703
9/16/2019,52.37538798,39.62016878
9/17/2019,28.53711068,41.88970846
9/18/2019,49.40580454,44.25158561
9/19/2019,15.68566632,46.69288423
9/20/2019,68.21905436,49.20033089
9/21/2019,80.30322082,51.76035099
9/22/2019,95.01749806,54.35912644
9/23/2019,70.46244327,56.98265419
9/24/2019,56.45827657,59.61680573
9/25/2019,77.30183184,62.247387
9/26/2019,41.72166592,64.86019869
9/27/2019,37.95516596,67.4410965
9/28/2019,15.44633298,69.97605128
9/29/2019,0.080666662,72.45120868
9/30/2019,8.073833124,74.85294808
10/1/2019,90.61049839,77.16794057
10/2/2019,100.5008875,79.38320584
10/3/2019,90.10433158,81.4861675
10/4/2019,81.5414986,83.46470685
10/5/2019,80.30488792,85.30721478
10/6/2019,88.14477626,87.00264149
10/7/2019,62.63497112,88.540544
10/8/2019,9.154110926,89.91113113
10/9/2019,28.99216614,91.1053058
10/10/2019,90.17110992,92.11470446
10/11/2019,87.40244342,92.9317335
10/12/2019,87.1435537,93.54960251
10/13/2019,55.80805468,93.96235421
10/14/2019,17.0152775,94.16489089
10/15/2019,59.24127667,94.15299737
10/16/2019,65.00527656,93.92336028
10/17/2019,18.39627737,93.47358361
10/18/2019,58.41749882,92.80220045
10/19/2019,72.78527657,91.9086809
10/20/2019,59.40549884,90.7934361
10/21/2019,0,89.45781834
10/22/2019,0,87.90411728
10/23/2019,0,86.13555228
10/24/2019,0,84.15626083
10/25/2019,41.80988793,81.97128322
10/26/2019,18.01961087,79.58654346
10/27/2019,37.70199936,77.0088264
10/28/2019,27.42094396,74.24575145
10/29/2019,60.8775543,71.30574266
10/30/2019,41.82049929,68.19799552
10/31/2019,20.71594403,64.93244051
11/1/2019,46.36494393,61.51970359
11/2/2019,17.05316639,57.97106375
11/3/2019,13.10555524,54.29840786
11/4/2019,13.3782775,50.51418288
11/5/2019,0,46.63134582
11/6/2019,1.284166647,42.66331143
11/7/2019,0.456444418,38.62389805
11/8/2019,26.21099951,34.52727165
11/9/2019,6.823444332,30.38788844
11/10/2019,0.394999976,26.22043617
11/11/2019,0.834833284,22.0397745
11/12/2019,2.598166541,17.86087448
11/13/2019,26.59988844,13.69875765
11/14/2019,22.72988846,9.568434725
11/15/2019,26.55333258,5.484844389
11/16/2019,30.01461046,1.462792246
11/17/2019,15.00511076,-2.483109709
11/18/2019,26.43111067,-6.338502885
11/19/2019,6.287416465,-10.08934091
11/20/2019,2.016333213,-13.72194723
11/21/2019,11.28983282,-17.22307118
11/22/2019,27.038333,-20.57994246
11/23/2019,18.23766628,-23.78032358
11/24/2019,6.43816647,-26.81256024
11/25/2019,26.80161056,-29.66562929
11/26/2019,28.40333271,-32.3291842
11/27/2019,6.288666394,-34.79359775
11/28/2019,0.484833304,-37.05000179
11/29/2019,0,-39.09032397
11/30/2019,0.292999983,-40.90732113
12/1/2019,0.931499944,-42.49460942
12/2/2019,14.49274954,-43.84669081
12/3/2019,24.83772148,-44.95897605
12/4/2019,19.59999962,-45.82780388
12/5/2019,5.116055329,-46.45045641
12/6/2019,4.744999793,-46.82517072
12/7/2019,3.066833176,-46.95114641
12/8/2019,0,-46.82854931
12/9/2019,0,-46.45851114
12/10/2019,0,-45.84312525
12/11/2019,0,-44.98543832
12/12/2019,0,-43.88943824
12/13/2019,0,-42.56003798
12/14/2019,0,-41.00305572
12/15/2019,0.232833321,-39.22519122
12/16/2019,2.498833184,-37.23399848
12/17/2019,1.960222174,-35.03785497
12/18/2019,20.41761081,-32.64592733
12/19/2019,17.07599985,-30.06813384
12/20/2019,24.4240549,-27.31510377
12/21/2019,14.73277746,-24.39813375
12/22/2019,12.37233303,-21.32914135
12/23/2019,4.578499791,-18.12061606
12/24/2019,3.317833248,-14.78556789
12/25/2019,4.235666512,-11.33747375
12/26/2019,8.362499778,-7.790221903
12/27/2019,19.85166609,-4.158054639
12/28/2019,25.03566598,-0.455509446
12/29/2019,8.043166462,3.302641065
12/30/2019,24.92366595,7.10145027
12/31/2019,12.11049966,10.92585941
1/1/2020,14.56838863,14.76075996
1/2/2020,0.451333306,18.59105631
