Date,Clean_Coal_Generation,Trend_Coal_Generation
10/6/2022,19588.98424,22080.1868
10/7/2022,19585.03025,21908.38391
10/8/2022,19565.04306,21741.35384
10/9/2022,19551.59518,21579.28364
10/10/2022,19283.11481,21422.3444
10/11/2022,18909.52545,21270.69087
10/12/2022,19584.84993,21124.46118
10/13/2022,19591.81179,20983.77653
10/14/2022,19613.28356,20848.74101
10/15/2022,19589.30495,20719.44147
10/16/2022,19573.82372,20595.94743
10/17/2022,19588.79929,20478.31104
10/18/2022,19548.39854,20366.56714
10/19/2022,19568.25726,20260.73332
10/20/2022,19584.25287,20160.81012
10/21/2022,19602.56261,20066.78118
10/22/2022,19603.73384,19978.61357
10/23/2022,19603.42646,19896.25806
10/24/2022,19603.04109,19819.64951
10/25/2022,18864.34401,19748.70731
10/26/2022,19599.52153,19683.33583
10/27/2022,19152.68381,19623.42497
10/28/2022,19274.09205,19568.85072
10/29/2022,19201.5692,19519.47578
10/30/2022,19258.96576,19475.15021
10/31/2022,19403.00663,19435.71212
11/1/2022,19504.80137,19400.98843
11/2/2022,13310.48475,19370.7956
11/3/2022,19475.52599,19344.94045
11/4/2022,19485.3897,19323.22097
11/5/2022,19488.73538,19305.42719
11/6/2022,19502.47126,19291.34201
11/7/2022,19486.61855,19280.74213
11/8/2022,19448.24704,19273.39891
11/9/2022,19508.89871,19269.07932
11/10/2022,19440.98948,19267.54683
11/11/2022,19405.41365,19268.56236
11/12/2022,19545.55471,19271.88518
11/13/2022,19584.58175,19277.27384
11/14/2022,19584.63688,19284.48711
11/15/2022,19580.41325,19293.28484
11/16/2022,19581.58635,19303.42891
11/17/2022,19542.00375,19314.68404
11/18/2022,19568.61737,19326.81873
11/19/2022,19595.42382,19339.60602
11/20/2022,19604.81415,19352.82435
11/21/2022,19622.39965,19366.25832
11/22/2022,19614.72964,19379.69946
11/23/2022,19615.35293,19392.94692
11/24/2022,19618.52892,19405.80817
11/25/2022,19605.64514,19418.09966
11/26/2022,19600.33132,19429.64736
11/27/2022,19600.14988,19440.28739
11/28/2022,19616.00881,19449.8665
11/29/2022,19615.07517,19458.2425
11/30/2022,19615.36766,19465.28476
12/1/2022,19614.01413,19470.8745
12/2/2022,19615.35376,19474.90514
12/3/2022,19604.30649,19477.28259
12/4/2022,19594.36954,19477.92539
12/5/2022,19576.11275,19476.76493
12/6/2022,19499.22484,19473.74556
12/7/2022,19624.95238,19468.82457
12/8/2022,19611.26095,19461.97226
12/9/2022,19606.30043,19453.17185
12/10/2022,12041.13487,19442.41937
12/11/2022,19494.27924,19429.7235
12/12/2022,19533.97563,19415.10537
12/13/2022,19548.5217,19398.59825
12/14/2022,19539.27681,19380.24728
12/15/2022,19542.35155,19360.10911
12/16/2022,19558.18709,19338.25143
12/17/2022,19530.54032,19314.7526
12/18/2022,19514.76921,19289.70108
12/19/2022,19516.1961,19263.19493
12/20/2022,19510.98147,19235.34124
12/21/2022,19420.41793,19206.25549
12/22/2022,19533.49498,19176.06093
12/23/2022,19553.8189,19144.8879
12/24/2022,19590.117,19112.87312
12/25/2022,19603.8929,19080.15896
12/26/2022,19624.50378,19046.8927
12/27/2022,19634.17904,19013.22579
12/28/2022,19635.01614,18979.313
12/29/2022,19601.74827,18945.31169
12/30/2022,19608.35857,18911.38096
12/31/2022,19606.09397,18877.68087
1/1/2023,19599.21797,18844.37162
1/2/2023,19585.85954,18811.61275
1/3/2023,19522.95152,18779.56229
1/4/2023,19546.80456,18748.37604
1/5/2023,19553.28814,18718.20669
1/6/2023,19584.27202,18689.20313
1/7/2023,19582.84574,18661.50966
1/8/2023,19573.13864,18635.26523
1/9/2023,19586.07529,18610.60279
1/10/2023,19582.85786,18587.64854
1/11/2023,19589.02146,18566.52134
1/12/2023,19579.68764,18547.33204
1/13/2023,19382.45304,18530.1829
1/14/2023,19569.78654,18515.16707
1/15/2023,19541.08638,18502.36806
1/16/2023,19518.45505,18491.85926
1/17/2023,19556.52488,18483.70353
1/18/2023,19574.7097,18477.95284
1/19/2023,19605.9106,18474.64789
1/20/2023,19611.55715,18473.81788
1/21/2023,19172.1401,18475.48024
1/22/2023,18541.6826,18479.64048
1/23/2023,18747.22388,18486.29204
1/24/2023,9708.439973,18495.4162
1/25/2023,12901.22175,18506.98211
1/26/2023,19648.85072,18520.94676
1/27/2023,19610.0101,18537.2551
1/28/2023,19626.27714,18555.84016
1/29/2023,19602.70978,18576.62325
1/30/2023,19593.63115,18599.51421
1/31/2023,19591.04576,18624.41166
2/1/2023,19599.72504,18651.20341
2/2/2023,19599.54913,18679.76678
2/3/2023,19516.80315,18709.96911
2/4/2023,17655.51548,18741.66818
2/5/2023,18212.9541,18774.7128
2/6/2023,18245.81959,18808.94332
2/7/2023,18305.93037,18844.19229
2/8/2023,18570.14282,18880.28511
2/9/2023,18253.69487,18917.04067
2/10/2023,18167.94605,18954.27211
2/11/2023,17806.01265,18991.78752
2/12/2023,18214.74293,19029.39079
2/13/2023,18275.02809,19066.88231
2/14/2023,18584.10458,19104.05986
2/15/2023,19493.15255,19140.7194
2/16/2023,18917.92204,19176.65593
2/17/2023,18625.29815,19211.66436
2/18/2023,18613.82315,19245.54035
2/19/2023,16544.72482,19278.0812
2/20/2023,17293.74825,19309.08668
2/21/2023,19041.0604,19338.35995
2/22/2023,19562.7272,19365.70836
2/23/2023,19544.54179,19390.94431
2/24/2023,19298.21117,19413.88611
2/25/2023,19074.24398,19434.35873
2/26/2023,18157.85119,19452.19466
2/27/2023,18005.41604,19467.23463
2/28/2023,19532.37992,19479.32836
3/1/2023,19568.11572,19488.33525
3/2/2023,19574.7941,19494.12509
3/3/2023,19574.0062,19496.57866
3/4/2023,19587.67866,19495.58834
3/5/2023,19561.20193,19491.05865
3/6/2023,19588.42844,19482.90677
